data_key,data_period,Prorrata
13371,14,226.0514162829653
13371,15,225.9201551861261
13371,16,227.15963856046204
13371,17,224.83915721678358
13371,18,231.3401168125592
13371,19,194.22611362587548
13413,9,0.264786152
13413,10,0.06225541081707256
13413,11,0.0
13413,12,0.0
13413,13,0.0
13413,14,0.0
13413,15,0.0
13413,16,0.0
13413,17,0.0
13413,18,0.0
13413,19,0.04814985096876174
13497,9,0.8618886643
13497,10,0.20901400130243533
13497,11,0.37704846806869713
13497,12,3.84599954638248
13497,13,3.372776427687469
13497,14,3.1551035674812447
13497,15,2.4851609784447835
13497,16,3.171670953773681
13497,17,2.4239586064436067
13497,18,2.3642398722576123
13497,19,1.3702133448125708
13581,9,67.42
13581,10,63.595558043195076
13581,11,77.67488822546812
13581,12,81.07423380262891
13581,13,70.94295378968718
13581,14,70.70212442444785
13581,15,68.41523277918911
13581,16,69.98445784069297
13581,17,63.4237358251754
13581,18,53.79517521883881
13581,19,67.73417043881334
13637,9,133.337
13637,10,162.89836431204665
13637,11,187.29160655364782
13637,12,200.0043029852539
13637,13,177.9685973396987
13637,14,179.5066779740564
13637,15,178.07961938274576
13637,16,180.98309159923926
13637,17,149.2169501046174
13637,18,153.87801677031263
13637,19,135.3916799446229
13749,9,29.3
13749,10,48.68918750698208
13749,11,54.903229010436924
13749,12,52.00928488245366
13749,13,39.718756870374676
13749,14,39.67798279615132
13749,15,38.89421726057652
13749,16,37.02949398464677
13749,17,30.58082010349705
13749,18,35.38216353758288
13749,19,31.810559076225765
13889,9,0.058
13889,10,18.883588012341452
13889,11,18.20311092156233
13889,12,17.102923943608268
13889,13,14.4425582256249
13889,14,14.399464121270812
13889,15,14.34320936548261
13889,16,14.874416525912277
13889,17,13.879924521478687
13889,18,16.144050062525377
13889,19,12.698620125375236
13903,9,0.042
13903,10,13.576966245219062
13903,11,13.051411858407054
13903,12,12.229572185875373
13903,13,10.242278994541797
13903,14,10.210087698589296
13903,15,10.168065396015507
13903,16,10.564877144856466
13903,17,9.821991617544578
13903,18,11.525227396706454
13903,19,9.0920472336553
13959,9,24.96
13959,10,43.20565242838534
13959,11,45.326355119593345
13959,12,43.78592507029901
13959,13,38.93708391893727
13959,14,38.76796747892286
13959,15,35.82858154061
13959,16,39.50035800959822
13959,17,36.73302639940097
13959,18,41.43111514380836
13959,19,43.19702628836303
14085,9,26.7
14085,10,38.705194901720965
14085,11,37.78051522194969
14085,12,35.944186140750546
14085,13,30.96194247709982
14085,14,30.68609685343663
14085,15,30.3870884832494
14085,16,31.32201308560561
14085,17,28.97170715780249
14085,18,31.275288110044666
14085,19,18.131811420660416
14155,9,3.9
14155,10,5.441588012341452
14155,11,9.407110921562323
14155,12,12.006923943608266
14155,13,10.746558225624897
14155,14,11.003464121270813
14155,15,10.74720936548261
14155,16,10.178416525912276
14155,17,6.983924521478691
14155,18,4.570050062525376
14155,19,1.3726201253752353
14169,9,25.29
14169,10,38.59644643455606
14169,11,45.42991058037452
14169,12,46.86938704210314
14169,13,42.91036303174972
14169,14,43.649699539558284
14169,15,43.57218622335129
14169,16,44.22956627255436
14169,17,38.09498866014033
14169,18,43.566140175071055
14169,19,41.92333635105065
14253,9,0.7872108154
14253,10,1.3934994445024353
14253,11,2.3530934815686977
14253,12,4.693365635182481
14253,13,5.31174578798747
14253,14,5.779392507881244
14253,15,5.652521452244785
14253,16,5.050721368973684
14253,17,3.4969996220436066
14253,18,2.5393507732576124
14253,19,1.2532845117125706
14281,9,0.69
14281,10,1.0003005741149589
14281,11,1.069450358365614
14281,12,1.0397718497618567
14281,13,0.9012820209562437
14281,14,0.9185527276804851
14281,15,0.9149899264805653
14281,16,0.9286330466411108
14281,17,0.8356485530269837
14281,18,1.002103170626607
14281,19,0.9932659412737648
14323,9,0.9362599488
14323,10,1.6297358946024352
14323,11,2.094259161568698
14323,12,2.0777906230824805
14323,13,1.6324050897874696
14323,14,1.7335101836812439
14323,15,1.6114948408447825
14323,16,0.6475248967736821
14323,17,1.2914822270436066
14323,18,1.6794331705576122
14323,19,2.6444107324125703
14337,9,6.02
14337,10,9.016262820038857
14337,11,10.92686360071553
14337,12,11.25909534269382
14337,13,10.033629969256191
14337,14,10.03021550589047
14337,15,9.999650421912216
14337,16,10.198272979079
14337,17,9.437932323336751
14337,18,10.121727200638786
14337,19,8.790123601453882
14351,9,19.8
14351,10,30.581937822831684
14351,11,36.61815520489029
14351,12,36.87280929567528
14351,13,32.67113271740607
